OnesCount,CorrelatedPairs,Qubits,delta,Run
80,68,160,-2,936
48,51,95,0,937
48,48,90,1,938
72,75,135,3,939
24,22,50,-1,940
48,43,95,-2,941
40,43,85,-4,942
40,37,75,0,943
48,40,100,-4,944
40,40,85,-4,945
32,31,65,-2,946
72,61,135,1,947
64,55,125,-2,948
24,18,45,0,949
72,72,150,-6,950
40,39,90,-6,951
64,65,140,-7,952
56,48,100,3,953
40,35,85,-4,954
48,37,105,-6,955
48,44,90,0,956
64,74,135,-5,957
48,42,90,1,958
72,65,145,-4,959
56,40,100,4,960
80,84,155,0,961
56,43,100,4,962
64,56,125,-2,963
48,53,105,-6,964
56,53,110,-1,965
16,16,30,1,966
48,39,80,6,967
48,34,90,1,968
32,27,60,1,969
24,17,40,3,970
56,48,110,-1,971
72,64,150,-6,972
24,25,50,-2,973
48,43,90,1,974
64,54,125,-1,975
40,31,80,-2,976
80,75,150,3,977
24,29,55,-4,978
40,36,90,-6,979
48,40,95,-1,980
88,91,190,-9,981
112,114,215,0,982
40,30,75,1,983
24,25,50,-2,984
64,62,125,-1,985
72,63,135,2,986
56,58,115,-3,987
32,30,70,-4,988
48,38,90,1,989
80,75,155,0,990
48,39,95,-2,991
32,37,75,-6,992
32,26,60,1,993
72,70,145,-3,994
88,89,185,-7,995
64,71,145,-10,996
48,37,90,1,997
80,69,175,-10,998
96,94,195,-4,999
48,48,100,-4,1000
